Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,6.149,"30,87%","21,4%","31,11%"
ARAGON,,,,
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,4.476,"22,47%","15,58%","22,64%"
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,4.362,"21,9%","15,18%","22,07%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,4.161,"20,89%","14,48%","21,05%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,243,"1,22%","0,85%","1,23%"
EB - ESCAÑOS EN BLANCO,122,"0,61%","0,42%","0,62%"
VOX - VOX,69,"0,35%","0,24%","0,35%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,67,"0,34%","0,23%","0,34%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,40,"0,2%","0,14%","0,2%"
VERDE,,,,
MAS - MOVIMIENTO ARAGONÉS SOCIAL,32,"0,16%","0,11%","0,16%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,28,"0,14%","0,1%","0,14%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,17,"0,09%","0,06%","0,09%"
