Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,17.036,"33,08%","23,06%","33,35%"
ARAGON,,,,
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,13.470,"26,15%","18,24%","26,37%"
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,10.876,"21,12%","14,72%","21,29%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,8.046,"15,62%","10,89%","15,75%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,577,"1,12%","0,78%","1,13%"
EB - ESCAÑOS EN BLANCO,338,"0,66%","0,46%","0,66%"
VOX - VOX,191,"0,37%","0,26%","0,37%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,149,"0,29%","0,2%","0,29%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,147,"0,29%","0,2%","0,29%"
VERDE,,,,
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,133,"0,26%","0,18%","0,26%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,63,"0,12%","0,09%","0,12%"
MAS - MOVIMIENTO ARAGONÉS SOCIAL,60,"0,12%","0,08%","0,12%"
