Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,4.324,"29,34%","21,77%","29,54%"
ARAGON,,,,
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,4.137,"28,07%","20,83%","28,27%"
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,3.207,"21,76%","16,14%","21,91%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,2.528,"17,15%","12,73%","17,27%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,148,1%,"0,75%","1,01%"
EB - ESCAÑOS EN BLANCO,110,"0,75%","0,55%","0,75%"
VOX - VOX,50,"0,34%","0,25%","0,34%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,38,"0,26%","0,19%","0,26%"
VERDE,,,,
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,36,"0,24%","0,18%","0,25%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,22,"0,15%","0,11%","0,15%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,19,"0,13%","0,1%","0,13%"
MAS - MOVIMIENTO ARAGONÉS SOCIAL,17,"0,12%","0,09%","0,12%"
