Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,16.597,"49,91%","40,2%","50,25%"
ARAGON,,,,
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,6.893,"20,73%","16,69%","20,87%"
PODEMOS - PODEMOS,3.742,"11,25%","9,06%","11,33%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,3.563,"10,71%","8,63%","10,79%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",1.224,"3,68%","2,96%","3,71%"
CHUNTA,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,324,"0,97%","0,78%","0,98%"
VOX - VOX,229,"0,69%","0,55%","0,69%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,176,"0,53%","0,43%","0,53%"
EB - ESCAÑOS EN BLANCO,170,"0,51%","0,41%","0,51%"
Independien - INDEPENDIENTES POR ARAGÓN,62,"0,19%","0,15%","0,19%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,38,"0,11%","0,09%","0,12%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,16,"0,05%","0,04%","0,05%"
