Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,18.236,"55,95%","44,19%","56,26%"
ARAGON,,,,
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,5.735,"17,6%","13,9%","17,69%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,4.070,"12,49%","9,86%","12,56%"
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,3.637,"11,16%","8,81%","11,22%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,227,"0,7%","0,55%","0,7%"
VOX - VOX,154,"0,47%","0,37%","0,48%"
EB - ESCAÑOS EN BLANCO,150,"0,46%","0,36%","0,46%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,107,"0,33%","0,26%","0,33%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,46,"0,14%","0,11%","0,14%"
VERDE,,,,
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,28,"0,09%","0,07%","0,09%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,14,"0,04%","0,03%","0,04%"
MAS - MOVIMIENTO ARAGONÉS SOCIAL,10,"0,03%","0,02%","0,03%"
