Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,6.752,"30,95%","21,19%","31,21%"
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,6.203,"28,43%","19,47%","28,68%"
ARAGON,,,,
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,5.077,"23,27%","15,93%","23,47%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,2.944,"13,49%","9,24%","13,61%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,276,"1,26%","0,87%","1,28%"
EB - ESCAÑOS EN BLANCO,136,"0,62%","0,43%","0,63%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,60,"0,27%","0,19%","0,28%"
VERDE,,,,
VOX - VOX,58,"0,27%","0,18%","0,27%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,47,"0,22%","0,15%","0,22%"
MAS - MOVIMIENTO ARAGONÉS SOCIAL,29,"0,13%","0,09%","0,13%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,27,"0,12%","0,08%","0,12%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,23,"0,11%","0,07%","0,11%"
