"",Candidatura,Votos,% válidos,% censo,% candidaturas
PODEMOS - PODEMOS,,18.333,"23,89%","18,39%","24,08%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,17.295,"22,54%","17,35%","22,72%"
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,,16.613,"21,65%","16,66%","21,82%"
ARAGON,,,,,
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,,14.869,"19,38%","14,92%","19,53%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",,6.517,"8,49%","6,54%","8,56%"
CHUNTA,,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,,757,"0,99%","0,76%","0,99%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,,683,"0,89%","0,69%","0,9%"
EB - ESCAÑOS EN BLANCO,,461,"0,6%","0,46%","0,61%"
VOX - VOX,,238,"0,31%","0,24%","0,31%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,,192,"0,25%","0,19%","0,25%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,109,"0,14%","0,11%","0,14%"
Independien - INDEPENDIENTES POR ARAGÓN,,61,"0,08%","0,06%","0,08%"
