Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,7.680,"36,92%","25,53%","37,18%"
ARAGON,,,,
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,5.207,"25,03%","17,31%","25,21%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,4.085,"19,64%","13,58%","19,78%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,3.087,"14,84%","10,26%","14,95%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,211,"1,01%","0,7%","1,02%"
EB - ESCAÑOS EN BLANCO,143,"0,69%","0,48%","0,69%"
VOX - VOX,77,"0,37%","0,26%","0,37%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,58,"0,28%","0,19%","0,28%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,46,"0,22%","0,15%","0,22%"
VERDE,,,,
MAS - MOVIMIENTO ARAGONÉS SOCIAL,22,"0,11%","0,07%","0,11%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,22,"0,11%","0,07%","0,11%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,17,"0,08%","0,06%","0,08%"
