distrito,seccion,Total,PSOE,CHA,IU,PP,PAR,PODEMOS,CIUDADANOS
3,058,555,80,20,19,86,8,67,18
3,060,684,80,13,16,95,9,94,27
3,061,449,64,19,16,68,16,67,17
3,061,535,62,31,10,78,14,75,14
3,062,594,80,21,16,72,11,107,32
3,062,611,66,32,18,74,9,100,39
3,063,738,115,21,11,123,11,108,25
3,064,821,125,26,38,131,28,114,50
3,065,583,83,29,17,77,15,94,40
3,065,632,88,19,18,102,19,89,48
3,066,642,76,31,28,109,23,105,62
3,066,705,89,36,36,124,17,103,62
3,067,678,103,16,23,107,15,100,32
3,067,631,92,27,21,96,16,127,43
3,068,491,66,23,11,79,15,94,29
3,068,548,62,21,14,76,19,87,30
3,069,810,115,46,24,92,13,89,32
3,070,768,86,19,23,165,21,103,31
3,071,694,90,32,37,116,24,112,52
3,071,610,80,15,18,100,22,101,47
3,073,525,88,25,18,79,16,89,36
3,073,605,88,27,22,116,23,103,30
3,074,533,81,28,25,62,17,107,29
3,074,576,71,24,25,114,13,112,36
3,075,601,81,27,22,114,14,104,42
3,075,690,101,25,28,121,20,123,44
3,076,491,77,25,9,95,27,58,33
3,076,592,71,16,21,132,21,80,46
3,077,549,55,14,20,121,23,95,37
3,077,593,60,30,22,132,19,87,44
3,078,712,69,28,29,167,24,94,60
3,079,576,76,28,18,90,8,83,23
3,080,544,55,10,12,186,11,73,57
3,081,606,58,15,26,130,17,117,32
3,081,669,65,26,33,125,23,138,52
3,082,767,61,26,20,197,23,115,67
3,082,672,69,21,27,153,16,89,73
3,083,564,69,12,17,137,22,76,44
3,083,529,37,13,19,130,22,65,59
3,084,638,50,15,13,187,31,88,65
3,085,493,28,14,16,155,8,42,51
3,085,537,41,16,12,180,10,59,48
3,086,430,63,10,11,83,10,57,25
3,086,481,58,14,12,103,11,76,27
3,087,657,72,21,15,107,18,84,31
3,088,581,87,16,15,84,9,80,22
3,089,681,83,28,28,118,11,110,34
3,089,695,69,34,24,116,5,97,49
3,090,508,65,14,32,79,9,86,46
3,090,506,74,17,24,80,12,93,25
4,001,756,71,20,39,130,24,119,57
4,002,759,41,12,20,199,17,112,64
4,003,625,37,9,19,160,16,73,49
4,004,519,47,26,26,142,18,65,35
4,004,544,54,5,22,150,17,63,29
4,005,440,38,11,11,130,15,42,39
4,005,452,36,5,13,120,11,69,40
4,006,431,46,11,13,110,10,70,27
4,006,415,41,18,14,91,5,53,21
4,007,748,82,25,25,174,14,94,45
4,008,749,56,13,19,183,16,107,74
4,009,513,40,16,23,100,18,83,34
4,009,548,62,19,21,113,16,75,35
4,010,732,75,24,31,127,18,121,36
4,011,649,61,11,15,208,16,53,66
4,011,694,48,8,17,228,19,61,70
4,012,682,38,17,17,224,17,65,56
4,013,402,19,5,9,140,6,42,46
4,013,458,28,3,12,145,10,54,55
4,014,703,32,12,11,246,19,72,72
4,015,631,61,24,24,154,14,77,56
4,016,552,36,12,20,159,16,80,52
4,016,566,46,22,24,151,18,87,44
4,017,699,84,18,31,185,17,98,47
