distrito,seccion,Total,PSOE,CHA,IU,PP,PAR,PODEMOS,CIUDADANOS
10,034,476,79,26,20,62,21,70,20
10,034,438,83,17,16,73,5,64,13
10,035,477,55,16,35,60,11,99,50
10,035,544,51,28,27,89,13,88,58
10,036,706,113,37,30,62,25,134,24
10,037,500,45,29,26,47,9,129,43
10,037,559,56,35,22,46,15,156,54
10,038,509,70,18,16,53,12,98,23
10,038,485,77,18,10,66,11,95,25
10,039,518,63,23,10,71,4,102,54
10,039,516,63,23,18,79,10,90,43
10,040,457,58,17,12,86,9,79,42
10,040,518,60,25,9,87,15,95,53
10,041,791,103,33,21,156,9,130,101
10,041,843,85,23,24,158,19,153,92
10,042,620,88,21,24,114,12,92,70
10,042,631,59,24,16,130,21,94,80
10,043,544,65,20,36,65,12,109,50
10,043,587,72,24,32,50,13,128,40
10,043,548,80,28,37,64,16,99,35
10,044,614,91,26,62,67,10,131,40
10,044,587,82,17,51,54,12,133,43
10,045,456,67,23,17,57,5,112,34
10,045,430,45,14,16,62,14,89,39
10,046,575,59,25,16,74,13,99,54
10,046,624,68,22,17,74,29,102,59
10,046,567,56,28,22,85,12,89,59
10,047,590,129,23,20,60,7,107,19
10,047,584,121,24,31,56,12,115,28
10,048,601,77,26,23,65,13,109,66
10,048,631,79,26,21,83,16,132,66
10,048,638,82,30,17,86,20,137,63
10,049,801,82,37,34,139,22,157,65
10,049,855,79,34,31,115,28,180,82
10,050,486,49,21,10,72,10,72,54
10,050,530,63,28,18,84,10,98,58
10,051,834,91,29,31,69,8,166,50
10,051,771,106,23,27,102,16,153,61
10,052,521,74,35,26,58,11,128,30
10,052,545,79,40,27,56,17,123,32
10,053,588,76,30,23,83,12,117,36
10,053,609,75,23,33,80,10,136,35
10,053,535,64,22,20,74,12,122,42
10,054,795,103,47,29,63,19,156,58
10,054,817,96,39,36,97,18,132,58
10,055,651,82,19,17,63,10,107,39
10,055,600,59,24,15,61,10,109,43
10,056,797,119,33,29,62,9,169,19
10,057,729,87,17,23,69,8,147,26
10,057,670,79,15,31,43,6,123,35
10,058,577,97,24,24,72,6,113,47
10,058,624,66,34,25,108,8,123,48
10,059,729,79,21,47,95,12,162,50
10,060,610,62,22,26,113,13,114,70
10,060,644,72,34,21,126,13,101,92
10,061,675,88,20,19,99,18,129,61
10,061,748,78,20,21,133,21,137,82
10,062,527,91,16,19,55,8,139,29
10,062,574,122,21,25,44,9,148,43
10,063,518,60,17,16,104,17,73,58
10,063,571,66,18,10,121,23,80,70
10,064,555,49,21,19,107,10,100,70
10,064,568,48,21,17,114,17,93,63
10,064,555,56,12,27,105,13,86,57
10,065,674,70,26,21,108,22,128,70
10,065,765,83,26,36,114,21,125,83
10,066,821,79,61,46,102,14,154,75
10,067,641,66,28,18,90,24,140,68
10,067,680,92,25,26,106,24,123,62
10,068,569,68,11,27,97,6,120,35
10,069,736,90,48,24,68,10,120,68
10,069,793,91,49,28,96,19,130,63
10,070,439,57,18,17,70,11,83,43
10,070,459,67,19,22,83,6,83,28
10,071,591,59,19,23,117,14,98,74
10,071,610,77,20,16,112,22,98,70
10,072,733,83,38,33,116,15,143,50
10,073,497,70,20,25,77,9,96,32
10,073,538,85,29,24,64,15,93,47
10,074,595,64,34,32,81,23,101,46
10,074,665,92,37,21,97,21,127,68
10,074,570,61,34,20,86,13,123,52
10,075,816,114,45,17,111,14,161,36
10,076,478,55,16,19,73,8,90,50
10,076,522,59,23,13,69,10,91,50
10,077,618,68,18,19,92,14,117,64
10,077,705,72,21,32,112,9,102,81
10,078,786,90,33,57,119,20,158,64
10,079,576,56,16,20,70,10,111,64
10,079,555,48,20,24,66,9,115,59
10,080,481,45,15,24,50,6,96,46
10,080,539,50,29,19,53,14,79,57
10,081,672,71,37,21,84,10,125,71
10,081,748,76,34,24,91,17,156,85
10,082,646,74,29,28,112,23,117,59
10,082,683,75,28,27,106,22,108,101
10,083,390,43,27,21,48,11,79,38
10,083,444,44,38,18,59,10,85,60
10,084,473,45,23,15,76,15,99,57
10,084,515,51,23,11,71,17,91,76
10,085,614,61,26,20,73,20,127,62
10,085,717,63,27,27,83,26,154,67
10,086,619,54,31,29,61,7,169,70
10,086,698,67,59,53,81,9,152,63
10,087,531,43,35,14,62,11,119,23
10,087,540,46,40,16,56,10,102,31
10,088,615,72,31,24,100,30,104,77
10,088,521,54,18,27,96,17,91,68
10,089,465,58,22,15,87,18,69,62
10,089,506,52,18,21,72,17,64,81
10,090,459,59,30,13,63,13,91,27
10,090,482,61,22,25,68,21,85,29
10,091,456,34,17,23,60,11,94,58
10,091,449,40,17,28,59,9,105,37
11,001,661,41,14,10,130,14,67,41
11,001,648,37,11,6,103,8,46,49
11,002,542,65,18,15,65,11,67,17
11,003,569,75,16,11,78,9,87,57
11,003,545,63,23,9,84,13,87,50
11,003,465,47,9,12,58,15,93,28
11,004,422,49,18,23,64,11,70,23
11,004,432,52,21,27,55,10,76,20
11,006,486,30,18,14,105,12,68,25
11,006,472,44,22,12,91,8,53,22
11,007,426,38,15,8,54,22,67,15
11,007,464,49,25,11,62,16,63,25
11,008,565,52,22,5,89,21,74,41
11,008,527,72,22,14,81,25,74,34
11,009,587,65,25,17,85,13,86,50
11,009,530,50,22,18,66,4,83,38
11,010,526,61,19,26,66,8,79,49
11,010,558,62,29,14,82,5,102,65
11,011,543,57,22,28,68,12,116,41
11,011,575,55,29,38,62,13,103,44
11,012,800,59,13,16,250,23,91,88
11,013,476,39,8,7,101,16,56,38
11,013,543,54,12,13,97,9,73,31
11,015,605,39,31,28,96,21,110,71
11,015,651,57,24,30,79,17,127,89
11,015,583,47,26,28,78,23,111,70
11,016,667,75,29,40,77,9,126,42
11,016,676,91,37,24,60,12,131,49
11,017,778,94,16,22,130,10,139,45
11,018,571,65,22,20,109,10,87,53
11,018,601,70,27,24,83,23,97,59
11,018,564,64,15,20,88,12,92,54
11,019,550,58,25,11,83,18,85,73
11,019,554,58,29,22,64,12,106,67
12,001,584,68,21,16,102,13,76,45
12,001,609,54,15,14,76,5,117,50
12,001,574,50,15,18,91,9,89,39
12,002,728,33,8,1,280,21,36,60
12,003,826,124,27,20,116,20,81,54
12,003,765,120,28,24,95,19,121,40
12,004,514,63,14,11,46,9,85,25
12,004,587,78,17,19,59,11,101,27
12,005,563,91,27,15,49,9,85,18
12,005,607,113,31,41,43,16,110,19
12,006,622,95,25,22,69,10,86,14
12,006,558,113,17,15,64,8,88,22
12,007,699,118,21,37,73,8,84,23
12,008,774,110,22,39,80,19,115,40
12,009,750,34,12,5,94,10,70,44
12,009,736,35,12,11,126,8,95,58
12,010,589,53,9,13,127,11,85,69
