 Municipio, Mesa, Censo, Censo total, Votos_electores, Votos_interventores, Votos_totales, Votos_nulos, Votos_blancos, P.S.O.E., F.I.A., CHA, EB, BAR, I.U., P.P., P.C.P.E., PACMA, UPyD, COMPROMISO CON ARAGON, PAR, PODEMOS, EQUO, C`s, RECORTES CERO
 Alconchel de Ariza, 1-001 -U, 100.0, 100.0, 60.0, 0.0, 60.0, 1.0, 3.0, 35.0, 0.0, 0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 0.0, 0.0, 0.0, 5.0, 6.0, 0.0, 3.0, 0.0
 Aldehuela de Liestos, 1-001 -U, 57.0, 57.0, 43.0, 0.0, 43.0, 0.0, 1.0, 12.0, 0.0, 0.0, 0.0, 0.0, 2.0, 18.0, 0.0, 0.0, 1.0, 0.0, 4.0, 4.0, 0.0, 1.0, 0.0
 Alfajar?, 1-001 -A, 637.0, 637.0, 443.0, 0.0, 443.0, 3.0, 22.0, 57.0, 0.0, 24.0, 2.0, 0.0, 18.0, 120.0, 0.0, 3.0, 3.0, 1.0, 50.0, 99.0, 0.0, 41.0, 0.0
 Alfajar?, 1-001 -B, 605.0, 605.0, 395.0, 0.0, 395.0, 9.0, 8.0, 73.0, 0.0, 18.0, 2.0, 0.0, 14.0, 79.0, 0.0, 3.0, 1.0, 2.0, 66.0, 79.0, 0.0, 40.0, 1.0
 Alfajar?, 1-001 -C, 502.0, 502.0, 360.0, 0.0, 360.0, 2.0, 6.0, 54.0, 2.0, 14.0, 1.0, 1.0, 14.0, 95.0, 0.0, 3.0, 2.0, 1.0, 59.0, 73.0, 0.0, 32.0, 1.0
 Alfam?, 1-001 -A, 436.0, 436.0, 358.0, 0.0, 358.0, 3.0, 9.0, 127.0, 0.0, 7.0, 1.0, 0.0, 2.0, 61.0, 0.0, 0.0, 0.0, 0.0, 114.0, 26.0, 1.0, 6.0, 1.0
 Alfam?, 1-001 -B, 517.0, 517.0, 432.0, 0.0, 432.0, 1.0, 5.0, 162.0, 1.0, 15.0, 0.0, 0.0, 1.0, 68.0, 1.0, 0.0, 1.0, 0.0, 127.0, 34.0, 1.0, 15.0, 0.0
 Alforque, 1-001 -U, 60.0, 60.0, 50.0, 0.0, 50.0, 1.0, 0.0, 21.0, 0.0, 1.0, 0.0, 0.0, 0.0, 18.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 1.0, 0.0
 Alhama de Arag?, 1-001 -A, 377.0, 377.0, 271.0, 0.0, 271.0, 4.0, 2.0, 50.0, 0.0, 47.0, 2.0, 0.0, 3.0, 54.0, 1.0, 1.0, 2.0, 0.0, 71.0, 28.0, 0.0, 6.0, 0.0
 Alhama de Arag?, 1-001 -B, 448.0, 448.0, 310.0, 1.0, 311.0, 3.0, 3.0, 49.0, 0.0, 48.0, 1.0, 1.0, 7.0, 84.0, 1.0, 0.0, 1.0, 1.0, 77.0, 26.0, 0.0, 8.0, 1.0
 Almochuel, 1-001 -U, 34.0, 34.0, 29.0, 0.0, 29.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 5.0, 7.0, 0.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 2.0, 0.0
 Almonacid de la Cuba, 1-001 -U, 222.0, 222.0, 191.0, 0.0, 191.0, 2.0, 5.0, 34.0, 0.0, 1.0, 0.0, 0.0, 6.0, 32.0, 0.0, 2.0, 0.0, 0.0, 98.0, 9.0, 0.0, 2.0, 0.0
 Almonacid de la Sierra, 1-001 -U, 604.0, 604.0, 505.0, 0.0, 505.0, 7.0, 13.0, 268.0, 0.0, 3.0, 0.0, 2.0, 4.0, 93.0, 0.0, 3.0, 2.0, 1.0, 17.0, 72.0, 2.0, 16.0, 2.0
 Alpartir, 1-001 -U, 446.0, 446.0, 365.0, 0.0, 365.0, 9.0, 6.0, 134.0, 0.0, 14.0, 0.0, 0.0, 6.0, 119.0, 1.0, 0.0, 1.0, 0.0, 2.0, 49.0, 1.0, 22.0, 1.0
 Ambel, 1-001 -U, 232.0, 232.0, 184.0, 0.0, 184.0, 1.0, 0.0, 55.0, 0.0, 3.0, 0.0, 0.0, 6.0, 72.0, 0.0, 1.0, 1.0, 0.0, 7.0, 29.0, 0.0, 8.0, 1.0
 Anento, 1-001 -U, 85.0, 85.0, 71.0, 0.0, 71.0, 0.0, 0.0, 17.0, 0.0, 10.0, 0.0, 0.0, 3.0, 18.0, 0.0, 1.0, 2.0, 0.0, 5.0, 11.0, 0.0, 4.0, 0.0
 Ani?n, 1-001 -U, 642.0, 642.0, 471.0, 0.0, 471.0, 9.0, 10.0, 243.0, 0.0, 14.0, 0.0, 1.0, 10.0, 96.0, 0.0, 0.0, 3.0, 0.0, 15.0, 54.0, 0.0, 15.0, 1.0
 A?n de Moncayo, 1-001 -U, 226.0, 226.0, 190.0, 0.0, 190.0, 0.0, 1.0, 26.0, 0.0, 6.0, 0.0, 0.0, 0.0, 71.0, 1.0, 0.0, 0.0, 0.0, 31.0, 46.0, 1.0, 6.0, 1.0
 Aranda de Moncayo, 1-001 -U, 161.0, 161.0, 111.0, 0.0, 111.0, 8.0, 0.0, 36.0, 0.0, 4.0, 2.0, 0.0, 1.0, 31.0, 0.0, 0.0, 0.0, 0.0, 12.0, 13.0, 1.0, 3.0, 0.0
 Ar?diga, 1-001 -U, 282.0, 282.0, 221.0, 0.0, 221.0, 0.0, 15.0, 27.0, 0.0, 32.0, 0.0, 0.0, 10.0, 78.0, 0.0, 1.0, 2.0, 3.0, 2.0, 46.0, 0.0, 5.0, 0.0
 Ardisa, 1-001 -U, 73.0, 73.0, 66.0, 0.0, 66.0, 1.0, 0.0, 13.0, 0.0, 7.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 20.0, 9.0, 0.0, 3.0, 0.0
 Ariza, 1-001 -A, 414.0, 414.0, 307.0, 0.0, 307.0, 5.0, 6.0, 154.0, 0.0, 4.0, 0.0, 0.0, 5.0, 59.0, 0.0, 0.0, 1.0, 0.0, 13.0, 39.0, 1.0, 20.0, 0.0
