Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,11.433,"34,49%","24,12%","34,76%"
ARAGON,,,,
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,8.283,"24,98%","17,47%","25,18%"
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,7.020,"21,18%","14,81%","21,34%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,5.232,"15,78%","11,04%","15,91%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,333,1%,"0,7%","1,01%"
EB - ESCAÑOS EN BLANCO,224,"0,68%","0,47%","0,68%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,91,"0,27%","0,19%","0,28%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,88,"0,27%","0,19%","0,27%"
VERDE,,,,
VOX - VOX,81,"0,24%","0,17%","0,25%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,39,"0,12%","0,08%","0,12%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,38,"0,11%","0,08%","0,12%"
MAS - MOVIMIENTO ARAGONÉS SOCIAL,32,"0,1%","0,07%","0,1%"
