Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,10.321,"29,7%","21,62%","29,95%"
ARAGON,,,,
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,7.776,"22,38%","16,29%","22,57%"
PODEMOS - PODEMOS,6.836,"19,67%","14,32%","19,84%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,5.862,"16,87%","12,28%","17,01%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",2.413,"6,94%","5,05%",7%
CHUNTA,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,322,"0,93%","0,67%","0,93%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,294,"0,85%","0,62%","0,85%"
EB - ESCAÑOS EN BLANCO,220,"0,63%","0,46%","0,64%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,163,"0,47%","0,34%","0,47%"
VOX - VOX,131,"0,38%","0,27%","0,38%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,73,"0,21%","0,15%","0,21%"
Independien - INDEPENDIENTES POR ARAGÓN,46,"0,13%","0,1%","0,13%"
