Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,2.414,"33,48%","21,73%","33,7%"
ARAGON,,,,
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,1.798,"24,94%","16,18%","25,1%"
PODEMOS-IU- - UNIDOS PODEMOS EN ARAGÓN,1.587,"22,01%","14,28%","22,15%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,1.176,"16,31%","10,59%","16,42%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,70,"0,97%","0,63%","0,98%"
EB - ESCAÑOS EN BLANCO,48,"0,67%","0,43%","0,67%"
VOX - VOX,22,"0,31%","0,2%","0,31%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,15,"0,21%","0,14%","0,21%"
RECORTES CERO-GRUPO VERDE - RECORTES CERO-GRUPO,12,"0,17%","0,11%","0,17%"
VERDE,,,,
MAS - MOVIMIENTO ARAGONÉS SOCIAL,10,"0,14%","0,09%","0,14%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,7,"0,1%","0,06%","0,1%"
INDEPENDIEN - INDEPENDIENTES POR ARAGÓN,5,"0,07%","0,05%","0,07%"
