year,pp,psoe
1989,23.51,41.65
1993,30.35,31.58
1996,50.14,29.84
2000,46.76,26.82
2004,33.65,39.71
2008,35.88,46.05
2011,46.33,28.21
2015,26.87,18.59
2016,32.39,21.2
2019,13.94,28.24
