year,pp,psoe
1989,24.63,44.83
1993,31.96,36.72
1996,45.91,35.45
2000,45.99,30.61
2004,34.51,41.88
2008,36.41,49.4
2011,46.4,31.42
2015,27.61,22.99
2016,33.48,24.94
2019,15.75,30.49
