year,pp,psoe
1989,26.19,35.66
1993,30.7,29.19
1996,47.98,28.52
2000,47.19,27.47
2004,33.4,40.65
2008,35.09,47.74
2011,45.04,31.29
2015,29.7,22.38
2016,34.49,24.98
2019,18.30,33.08
