year,pp,psoe
1989,16.1,44.71
1993,16.53,37.24
1996,37.65,35.53
2000,38.49,33.13
2004,26.09,46.32
2008,27.78,54.6
2011,38.23,37.3
2015,24.64,28.44
2016,28.43,30.95
2019,14.47,37.77
