year,pp,psoe
1989,42.75,22.2
1993,47.74,19.18
1996,63,18.48
2000,61.2,18.31
2004,48.16,29.83
2008,49.95,34.42
2011,53.8,21.54
2015,33.44,13.59
2016,38.91,16.33
2019,19.88,24.07
