year,pp,psoe
1989,55.95,12.49
1993,57.49,14.63
1996,72.07,14.49
2000,69.81,13.81
2004,57.28,23.87
2008,60.12,26.7
2011,67.41,15.71
2015,49.91,10.71
2016,55.65,12.49
2019,31.86,18.30
