year,pp,psoe
1989,23.22,36.57
1993,28.4,30.03
1996,45.75,29.73
2000,45.41,28.38
2004,31.63,41.29
2008,33.84,48.85
2011,43.63,32.52
2015,29.14,23.56
2016,33.08,26.15
2019,17.76,34.48
