order,up,distrito
294,-9,06
295,-4,06
296,-9,06
297,-7,06
298,-9,06
299,-8,06
300,-4,06
301,-6,06
302,-7,06
303,-11,06
304,-9,06
305,-3,07
306,-9,07
307,-6,07
308,-8,07
309,-8,07
310,-6,07
311,-8,07
312,-6,07
313,-6,07
314,-3,07
315,-7,07
316,-9,07
317,-11,07
318,-7,07
319,-9,07
320,-9,07
321,-10,08
322,-9,08
323,-7,08
324,-6,08
325,-8,08
326,-6,08
327,-5,08
328,-11,08
329,-5,08
330,-8,08
331,-9,08
332,-3,08
333,-11,08
334,-6,08
335,-14,08
336,-11,08
337,-3,08
338,-10,08
339,-9,08
340,-5,08
341,-8,08
342,-10,08
343,-10,08
344,-6,08
345,-3,08
346,-6,09
347,-9,09
348,-6,09
349,-8,09
350,-10,09
351,-11,09
352,-8,09
353,-10,09
354,-8,09
355,-9,09
356,-9,09
357,-11,09
358,-8,09
359,-5,09
360,-3,09
361,-9,09
362,-10,09
363,-8,09
364,-7,09
365,-11,09
366,-13,09
367,-10,09
368,-9,09
369,-11,09
370,-9,09
371,-7,09
372,-8,09
373,-9,10
374,-8,10
375,-6,10
376,-12,10
377,-10,10
378,-5,10
379,-6,10
380,-10,10
381,-14,10
382,-11,10
383,-11,10
384,-9,10
385,-9,10
386,-10,10
387,-10,10
388,-10,10
389,-10,10
390,-6,10
391,-8,10
392,-10,10
393,-5,10
394,-8,10
395,-8,10
396,-12,10
397,-10,10
398,-6,10
399,-8,10
400,-8,10
401,-6,10
402,-6,10
403,-4,10
404,-9,10
405,-9,10
406,-7,10
407,-11,10
408,-10,10
409,-13,10
410,-9,10
411,-6,10
412,-10,10
413,-11,10
414,-9,10
415,-6,10
416,-6,10
417,-5,10
418,-8,10
419,-12,10
420,-11,10
421,-10,10
422,-8,10
423,-10,10
424,-7,10
425,-9,10
426,-7,10
427,-14,10
428,-9,10
429,-7,10
430,-17,10
431,-9,10
432,-10,10
433,-5,10
434,-6,10
435,-13,10
436,-5,10
437,-8,10
438,-5,10
439,-8,10
440,-8,10
441,-12,10
442,-7,10
443,-9,10
444,-6,10
445,-8,10
446,-7,10
447,-6,10
448,-5,10
449,-9,10
450,-11,10
451,-10,10
452,-7,10
453,-10,10
454,-6,10
455,-10,10
456,-9,10
457,-6,10
458,-4,10
459,-6,10
