year,pp,psoe
1989,16.38,47.84
1993,40.06,23.3
1996,38.04,38.6
2000,41.6,32.37
2004,30.3,42.59
2008,34.07,47.63
2011,45.01,29.04
2015,25.57,20.19
2016,30.87,22.47
2019,14.12,29.01
