year,pp,psoe
1989,16.54,44.48
1993,21.38,37.6
1996,36.96,35.27
2000,37.83,31.71
2004,25.49,44
2008,26.81,54.37
2011,36.73,35.06
2015,20.29,23.65
2016,24.05,26.09
2019,11.34,34.06
