year,pp,psoe
1989,19.52,40.16
1993,26.51,32.36
1996,42.24,31.3
2000,41.25,29.55
2004,29.13,43.61
2008,30.84,50.75
2011,39.74,33.62
2015,25.2,24.44
2016,29.34,28.07
2019,14.47,35.01
