year,pp,psoe
1989,13.99,44.53
1993,20.14,36.8
1996,35.82,34.54
2000,37.39,19.03
2004,25.9,45.36
2008,28.36,52.81
2011,37.79,33.63
2015,21.65,22.54
2016,25.78,25.76
2019,12.08,34.14
