order,pp,distrito,vox
424,-14,10,12
425,-14,10,12
426,-18,10,15
427,-11,10,9
428,-14,10,13
429,-14,10,10
430,-8,10,12
431,-13,10,11
432,-11,10,9
433,-17,10,13
434,-14,10,11
435,-9,10,10
436,-17,10,15
437,-18,10,14
438,-15,10,14
439,-12,10,10
440,-16,10,11
441,-14,10,14
442,-15,10,12
443,-14,10,10
444,-18,10,12
445,-15,10,12
446,-15,10,12
447,-17,10,13
448,-13,10,12
449,-11,10,15
450,-13,10,13
451,-14,10,13
452,-17,10,13
453,-12,10,9
454,-15,10,14
455,-11,10,13
456,-12,10,12
457,-16,10,10
458,-15,10,10
459,-15,10,11
460,-13,10,12
461,-15,11,12
462,-17,11,12
463,-23,11,25
464,-17,11,15
465,-26,11,17
466,-20,11,16
467,-20,11,17
468,-17,11,14
469,-17,11,17
470,-14,11,13
471,-24,11,17
472,-16,11,15
473,-13,11,12
474,-21,11,18
475,-18,11,13
476,-17,11,16
477,-27,12,23
478,-18,12,17
479,-12,12,13
480,-13,12,10
481,-14,12,10
482,-24,12,23
483,-14,12,13
484,-28,12,27
