Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,10.710,"54,37%","39,71%","55,09%"
PP - PARTIDO POPULAR,5.281,"26,81%","19,58%","27,17%"
CHA - CHUNTA ARAGONESISTA,1.352,"6,86%","5,01%","6,95%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,863,"4,38%","3,2%","4,44%"
PAR - PARTIDO ARAGONES,775,"3,93%","2,87%","3,99%"
UPyD - UNION PROGRESO Y DEMOCRACIA,192,"0,97%","0,71%","0,99%"
LV - LOS VERDES-GRUPO VERDE,84,"0,43%","0,31%","0,43%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,54,"0,27%","0,2%","0,28%"
PUM+J - POR UN MUNDO MAS JUSTO,18,"0,09%","0,07%","0,09%"
DN - DEMOCRACIA NACIONAL,16,"0,08%","0,06%","0,08%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,15,"0,08%","0,06%","0,08%"
PFyV - PARTIDO FAMILIA Y VIDA,14,"0,07%","0,05%","0,07%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,14,"0,07%","0,05%","0,07%"
INDEPENDIENTES DE ARAGON,,,,
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,12,"0,06%","0,04%","0,06%"
Cenb - CIUDADANOS EN BLANCO,11,"0,06%","0,04%","0,06%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,9,"0,05%","0,03%","0,05%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,6,"0,03%","0,02%","0,03%"
F.A. - FALANGE AUTENTICA,5,"0,03%","0,02%","0,03%"
PH - PARTIDO HUMANISTA,4,"0,02%","0,01%","0,02%"
AuN - ALIANZA NACIONAL,3,"0,02%","0,01%","0,02%"
AES - ALTERNATIVA ESPAÑOLA,2,"0,01%","0,01%","0,01%"
F.E - FRENTE ESPAÑOL,0,0%,0%,0%
