Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,6.221,"46,05%","34,42%","46,76%"
PP - PARTIDO POPULAR,4.779,"35,38%","26,44%","35,92%"
CHA - CHUNTA ARAGONESISTA,867,"6,42%","4,8%","6,52%"
PAR - PARTIDO ARAGONES,598,"4,43%","3,31%","4,5%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,445,"3,29%","2,46%","3,35%"
UPyD - UNION PROGRESO Y DEMOCRACIA,194,"1,44%","1,07%","1,46%"
LV - LOS VERDES-GRUPO VERDE,60,"0,44%","0,33%","0,45%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,25,"0,19%","0,14%","0,19%"
DN - DEMOCRACIA NACIONAL,25,"0,19%","0,14%","0,19%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,16,"0,12%","0,09%","0,12%"
PFyV - PARTIDO FAMILIA Y VIDA,11,"0,08%","0,06%","0,08%"
Cenb - CIUDADANOS EN BLANCO,11,"0,08%","0,06%","0,08%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,10,"0,07%","0,06%","0,08%"
PUM+J - POR UN MUNDO MAS JUSTO,10,"0,07%","0,06%","0,08%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,8,"0,06%","0,04%","0,06%"
INDEPENDIENTES DE ARAGON,,,,
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,6,"0,04%","0,03%","0,05%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,5,"0,04%","0,03%","0,04%"
F.E - FRENTE ESPAÑOL,4,"0,03%","0,02%","0,03%"
F.A. - FALANGE AUTENTICA,4,"0,03%","0,02%","0,03%"
PH - PARTIDO HUMANISTA,3,"0,02%","0,02%","0,02%"
AuN - ALIANZA NACIONAL,1,"0,01%","0,01%","0,01%"
AES - ALTERNATIVA ESPAÑOLA,0,0%,0%,0%
