Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,18.183,"33,44%","26,82%","33,72%"
ARAGON,,,,
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,12.628,"23,22%","18,63%","23,42%"
PODEMOS - PODEMOS,10.584,"19,46%","15,61%","19,63%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,7.390,"13,59%","10,9%","13,71%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",3.299,"6,07%","4,87%","6,12%"
CHUNTA,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,625,"1,15%","0,92%","1,16%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,416,"0,77%","0,61%","0,77%"
EB - ESCAÑOS EN BLANCO,313,"0,58%","0,46%","0,58%"
VOX - VOX,256,"0,47%","0,38%","0,47%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,107,"0,2%","0,16%","0,2%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,86,"0,16%","0,13%","0,16%"
Independien - INDEPENDIENTES POR ARAGÓN,31,"0,06%","0,05%","0,06%"
